#type, name,"description", link
Infrastructure, Ethereum Homestead Documentation, "This documentation is the result of an ongoing collaborative effort by volunteers from the Ethereum Community. Although it has not been authorized by the The Ethereum Foundation, we hope you will find it useful. We Welcome new Contrubtion", http://www.ethdocs.org/en/latest/index.html
Infrastructure, Ethereum Org, "Ethereum Foundation main website. Learn what Ethereum is and how it works. There is also video and training material on the website.", https://www.ethereum.org
Infrastructure, Smart Contract, "The best way to describe smart contracts is to compare the technology to a vending machine. Ordinarily, you would go to a lawyer or a notary, pay them, and wait while you get the document. With smart contracts, you simply drop a bitcoin into the vending machine (i.e. ledger), and your escrow, driver’s license, or whatever drops into your account. More so, smart contracts not only define the rules and penalties around an agreement in the same way that a traditional contract does, but also automatically enforce those obligations.",https://blockgeeks.com/guides/smart-contracts/ 
Infrastructure, Decentralized Platform, "It's like a "decentralized appstore" where anyone can publish their unstoppable apps (dapps), which unlike today's apps (think Gmail or Uber) don't require a middleman to function or to manage a user's information.”,https://www.coindesk.com/information/what-is-a-decentralized-application-dapp/ 
Infrastructure, Security Systems, "In this paper Deloitte’s global blockchain and cyber security experts from around the globe have joined forces to assess specifically the security of blockchain technology.",https://www2.deloitte.com/content/dam/Deloitte/ie/Documents/Technology/IE_C_BlockchainandCyberPOV_0417.pdf 
Infrastructure, Bitcoin mining, "Bitcoin Mining Explained Like You’re Five: Part 2 – Mechanics",https://chrispacia.wordpress.com/2013/09/02/bitcoin-mining-explained-like-youre-five-part-2-mechanics/ 
Infrastructure, Bitcoin Cryptography, "Bitcoin Explained Like You’re Five: Part 3 – Cryptography",https://chrispacia.wordpress.com/2013/09/07/bitcoin-cryptography-digital-signatures-explained/ 
Infrastructure, Proof of Work and Blockchains, "Done by Ittay Eyal ,Computer Science, Cornell University The Initiative for Cryptocurrencies and Contracts (IC3)",https://www.zurich.ibm.com/dccl/papers/eyal_dccl_slides.pdf 
Infrastructure, Proof of work vs Proof of stake, "Recently you might have heard about the idea to move from an Ethereum consensus based on the Proof of Work (PoW) system to one based on the so-called Proof of Stake...",https://blockgeeks.com/guides/proof-of-work-vs-proof-of-stake/ 
Infrastructure, dBFT, "Byzantine Fault Tolerance in a distributed System",http://sce.uhcl.edu/goodwin/Ceng5334/downLoads/byzantine.pdf 
Infrastructure, POS, "A Proof of Stake Design Philosophy", https://medium.com/@VitalikButerin/a-proof-of-stake-design-philosophy-506585978d51 
Infrastructure, P2P Communications, "In its simplest form, a peer-to-peer (P2P) network is created when two or more PCs are connected and share resources without going through a separate server computer.",https://www.computerworld.com/article/2588287/networking/networking-peer-to-peer-network.html 
Infrastructure, Decentralized Platform, "It's like a "decentralized appstore" where anyone can publish their unstoppable apps (dapps), which unlike today's apps (think Gmail or Uber) don't require a middleman to function or to manage a user's information.”,https://www.coindesk.com/information/what-is-a-decentralized-application-dapp/ 
Infrastructure, IPFS, "A peer-to-peer hypermedia protocol to make the web faster, safer, and more open.", https://medium.com/@ConsenSys/an-introduction-to-ipfs-9bba4860abd0 
Collection, Consensus Academy, "We have curated a selection of the best resources on Ethereum and blockchain to get you up to speed.", https://consensys.net/academy/resources/
Collection, Blockchain at Berkley - Resources, "Resources and presentations that where created by Berkley Students and faculty.", https://blockchain.berkeley.edu/resources/ 
Collection, Blockchain at Berkley - Workshops, "Workshops with a wide variety of Blockchain education.", https://blockchain.berkeley.edu/workshops/ 
Collection, Bitcoin Developer Guide, "Find detailed information about the Bitcoin protocol and related specification", https://bitcoin.org/en/developer-guide
Collection, Blockchain At Berkley, "Presentation on white papers for different blockchain projects.", https://blockchain.berkeley.edu/whitepapercircle/
Collection, Blockgeeks how to, "Different do it yourself guides to get you started on programming your own Blockchain project", https://blockgeeks.com/guides/
